num_solution,type,usage_CH,usage_ECS,usage_FR,num_AFPAC,emprise_PAC_exterieur,local_technique,emprise_logement,structure,acoustique,reseaux_hydrauliques,PLU,raccordement_electrique,impact_visuel,note_impact_visuel,note_Impact_sonore,note_impact_espace_exterieur,note_environnemental,note_maturite,famille_solution,description_solution,description_solution_proposition Pouget,commentaire_app,commentaire_pouget
00 - RCU,COL,Oui,Oui,Non,,,,,,,,,,,A,A,A,A,A,RCU,"Le réseau de chaleur est un système de canalisations qui permettent d’acheminer vers un ensemble de bâtiments de la chaleur produite localement, à partir d’énergies renouvelables et de récupération.",,Lien FCU : https://france-chaleur-urbaine.beta.gouv.fr/ avec idéalement dans l'url le bon lien vers l'adresse postale et autres paramètres de la requête,
01 - PAC Air / Eau,COL,Non,Oui,Non,1,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,B,A,PAC Air-Eau,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.",,
02 - PAC Air / Eau (gainée),COL,Non,Oui,Non,1,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS,Vérifier que l’intégration architecturales des bouches en façade est compatible avec le PLU,Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade,B,C,A,B,C,PAC Air-Eau,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.",,
03 - PAC Eaux grises / Eau,COL,Non,Oui,Non,2,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Pas de nuisances acoustiques,Prévoir une éventuelle rénovation des réseaux ECS,-,Anticiper l’impact sur la puissance de raccordement électrique,Pas d'impact visuel,A,A,A,B,B,PAC Eaux grises-Eau,"La pompe à chaleur (PAC) eaux grises / eau prélève de la chaleur dans les eaux grises (douches, vaisselle), augmente son niveau de température et la transfère à un circuit d'eau.",,,
04 - PAC sur capteur solaire atmosphérique,COL,Non,Oui,Non,3,"S’assurer que la place est suffisante en toiture pour les capteurs solaires (surface estimée, avec espace libre autour des capteurs : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des capteurs solaires sur la capacité structurelle de la toiture",Pas de nuisances acoustiques,Prévoir une éventuelle rénovation des réseaux ECS,Vérifier que l'installation est compatible avec le PLU (notamment l'impact visuel des capteurs),Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des capteurs solaires,B,A,C,B,A,PAC Solaire-Eau,"La pompe à chaleur (PAC) sur capteur solaire atmosphérique utilise l'énergie solaire pour chauffer un fluide caloporteur, qui est ensuite utilisé pour produire de la chaleur.","La PAC capte de la chaleur via un capteur solaire thermique, et produit de l'eau chaude.",,
05 - Hybride : PAC + chaudière,COL,Non,Oui,Non,4,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,C,B,Hybride PAC + Chaudière,La solution hybride combine une pompe à chaleur (PAC) avec une chaudière pour assurer l'appoint.,,,
06 - Hybride : PAC (gainée) + chaudière,COL,Non,Oui,Non,4,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS,Vérifier que l’intégration architecturales des bouches en façade est compatible avec le PLU,Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade,B,C,A,C,D,Hybride PAC + Chaudière,La solution hybride combine une pompe à chaleur (PAC) avec une chaudière pour assurer l'appoint.,,,
07 - PAC sur air extrait,COL,Non,Oui,Non,-,"S’assurer que la place est suffisante en toiture (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,B,B,B,B,E,PAC Air-Eau,"La pompe à chaleur (PAC) air extrait / eau capte de la chaleur sur l'air extrait de ventilation, et produit de l’eau chaude.",,,
08 - PAC Eau / Eau géothermique,COL,Non,Oui,Non,-,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Pas de nuisances acoustiques,Prévoir une éventuelle rénovation des réseaux ECS,-,Anticiper l’impact sur la puissance de raccordement électrique,Pas d'impact visuel,A,A,B,B,A,PAC Eau-Eau,"La pompe à chaleur (PAC) eau / eau prélève de la chaleur dans le sol, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC eau-eau capte de la chaleur dans le sol, et produit de l’eau chaude.",,
10 - PAC Air / Eau,COL,Oui,Oui,Possible,5,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS et chauffage,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,A,A,PAC Air-Eau,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",(+ FR) : froid possible
